order,start_date,end_date,goal,total_production,good_production
245208,2023-03-22 18:01:00,2023-03-23 04:10:00,165000.0,159125.0,158955.0
245209,2023-03-23 04:10:00,2023-03-23 22:56:57,330000.0,386986.0,385950.0
245210,2023-03-23 22:56:57,2023-03-24 22:45:43,520000.005,444563.0,442710.0
245256,2023-03-26 23:00:00,2023-03-27 18:51:18,352000.005,348226.0,347190.0
245337,2023-03-27 18:51:18,2023-03-28 03:33:45,220009.995,222175.0,221550.0
245257,2023-03-28 03:33:45,2023-03-28 15:04:39,220000.005,215703.0,215175.0
245258,2023-03-28 15:04:39,2023-03-30 00:53:01,750000.0,772334.0,769815.0
245397,2023-03-30 00:53:01,2023-03-30 06:25:04,60000.0,57710.0,57495.0
245259,2023-03-30 06:25:04,2023-03-30 20:38:33,400000.005,393028.0,391755.0
245285,2023-03-30 20:38:33,2023-03-31 15:47:18,439995.0,481872.0,480585.0
245262,2023-03-31 15:47:18,2023-03-31 18:15:58,50010.0,45785.0,45600.0
245353,2023-04-02 23:00:01,2023-04-03 23:48:00,450000.0,446400.0,446400.0
245354,2023-04-03 23:48:00,2023-04-04 10:14:00,250000.005,251400.0,251400.0
245357,2023-04-04 10:14:00,2023-04-05 02:01:00,315000.0,303855.0,303855.0
245356,2023-04-05 02:01:00,2023-04-06 16:10:00,820005.0,868695.0,868695.0
245614,2023-04-27 07:00:00,2023-04-27 21:58:25,199999.995,155678.0,155220.0
245613,2023-04-27 21:58:25,2023-04-28 17:42:07,385000.0,379470.0,378000.0
245767,2023-05-07 23:00:00,2023-05-08 22:57:38,300000.0,295404.0,294795.0
245764,2023-05-08 22:57:38,2023-05-09 06:18:32,150000.0,150519.0,150270.0
245766,2023-05-09 06:18:32,2023-05-09 22:47:26,300000.0,300282.0,299955.0
245771,2023-05-09 22:47:26,2023-05-10 12:53:03,274999.995,103935.0,103770.0
245769,2023-05-10 12:53:03,2023-05-11 06:32:27,176010.0,168010.0,167580.0
245674,2023-05-11 06:32:27,2023-05-11 18:39:46,110010.0,102448.0,101880.0
245772,2023-05-11 18:39:46,2023-05-12 05:47:50,250005.0,252056.0,251475.0
245774,2023-05-12 05:47:50,2023-05-12 16:56:00,270000.0,174475.0,174165.0
245852,2023-05-15 13:41:00,2023-05-16 05:18:00,420000.0,398856.0,398340.0
245770,2023-05-12 16:56:00,2023-05-12 19:55:00,46575.0,46634.0,46575.0
245883,2023-05-14 23:00:00,2023-05-15 13:41:00,300000.0,295117.0,294690.0
245884,2023-05-16 05:18:00,2023-05-16 14:20:50,220005.0,217412.0,217155.0
245851,2023-05-16 14:20:50,2023-05-17 02:59:39,199995.0,201366.0,201060.0
245857,2023-05-17 02:59:39,2023-05-18 02:19:06,620010.0,493961.0,481725.0
245853,2023-05-18 02:19:06,2023-05-19 01:44:59,499995.0,509948.0,509040.0
245886,2023-05-19 07:31:23,2023-05-19 13:20:51,50010.0,54892.0,54285.0
245885,2023-05-19 01:44:59,2023-05-19 07:31:23,125010.0,125870.0,125535.0
245854,2023-05-19 13:20:51,2023-05-19 21:19:33,199995.0,173155.0,172320.0
245855,2023-05-19 21:19:33,2023-05-20 14:29:32,477000.0,463095.0,462585.0
245856,2023-05-20 14:29:32,2023-05-20 17:47:44,49995.0,46633.0,46365.0
245950,2023-05-21 23:00:00,2023-05-22 22:13:32,500010.0,448364.0,447795.0
245952,2023-05-22 22:13:32,2023-05-23 10:35:40,264000.0,264529.0,264000.0
245953,2023-05-23 10:35:40,2023-05-23 17:07:39,165000.0,158537.0,158205.0
245954,2023-05-23 17:07:39,2023-05-24 15:00:00,935010.0,360486.0,359640.0
245992,2023-05-28 23:00:00,2023-05-29 20:07:51,360000.0,361856.0,360990.0
